,Indent,Zr_at,Nb_at,Mo_at,Ti_at,Cr_at,Zr_m,Nb_m,Mo_m,Ti_m,Cr_m,E_GPa
data_1,grad6-CrMo measure 1 indent 1,0.0,4.08,35.93,4.46,55.52,0.0,5.47,49.77,3.08,41.67,322.8381248812631
data_2,grad6-CrMo measure 1 indent 2,0.0,4.08,35.93,4.46,55.52,0.0,5.47,49.77,3.08,41.67,308.3771255415674
data_3,grad6-CrMo measure 1 indent 3,0.0,4.08,35.93,4.46,55.52,0.0,5.47,49.77,3.08,41.67,301.9749290618739
data_4,grad6-CrMo measure 1 indent 4,0.0,4.08,35.93,4.46,55.52,0.0,5.47,49.77,3.08,41.67,317.0428857549632
data_5,grad6-CrMo measure 1 indent 5,0.0,4.08,35.93,4.46,55.52,0.0,5.47,49.77,3.08,41.67,343.0709747090944
data_6,grad6-CrMo measure 2 indent 1,0.0,4.71,35.14,5.19,54.96,0.0,6.32,48.76,3.6,41.32,294.49420991348205
data_7,grad6-CrMo measure 2 indent 2,0.0,4.71,35.14,5.19,54.96,0.0,6.32,48.76,3.6,41.32,304.9250499645848
data_8,grad6-CrMo measure 2 indent 3,0.0,4.71,35.14,5.19,54.96,0.0,6.32,48.76,3.6,41.32,315.6686791558625
data_9,grad6-CrMo measure 2 indent 4,0.0,4.71,35.14,5.19,54.96,0.0,6.32,48.76,3.6,41.32,300.19335129644173
data_10,grad6-CrMo measure 2 indent 5,0.0,4.71,35.14,5.19,54.96,0.0,6.32,48.76,3.6,41.32,323.4791153019688
data_11,grad6-CrMo measure 3 indent 1,0.0,5.36,34.46,6.17,54.01,0.0,7.21,47.86,4.28,40.65,320.30962763430324
data_12,grad6-CrMo measure 3 indent 2,0.0,5.36,34.46,6.17,54.01,0.0,7.21,47.86,4.28,40.65,301.3199140183428
data_13,grad6-CrMo measure 3 indent 3,0.0,5.36,34.46,6.17,54.01,0.0,7.21,47.86,4.28,40.65,323.6914026093576
data_14,grad6-CrMo measure 3 indent 4,0.0,5.36,34.46,6.17,54.01,0.0,7.21,47.86,4.28,40.65,294.220015579636
data_16,grad6-CrMo measure 4 indent 1,0.0,6.14,33.88,7.11,52.86,0.0,8.26,47.04,4.93,39.77,299.458697689777
data_17,grad6-CrMo measure 4 indent 2,0.0,6.14,33.88,7.11,52.86,0.0,8.26,47.04,4.93,39.77,296.13144112563407
data_18,grad6-CrMo measure 4 indent 3,0.0,6.14,33.88,7.11,52.86,0.0,8.26,47.04,4.93,39.77,282.9808871605783
data_19,grad6-CrMo measure 4 indent 4,0.0,6.14,33.88,7.11,52.86,0.0,8.26,47.04,4.93,39.77,309.40889283944006
data_20,grad6-CrMo measure 4 indent 5,0.0,6.14,33.88,7.11,52.86,0.0,8.26,47.04,4.93,39.77,284.1800698057444
data_21,grad6-CrMo measure 5 indent 1,0.0,7.02,33.36,8.01,51.61,0.0,9.43,46.25,5.55,38.78,292.53331704596985
data_22,grad6-CrMo measure 5 indent 2,0.0,7.02,33.36,8.01,51.61,0.0,9.43,46.25,5.55,38.78,285.8548949062716
data_23,grad6-CrMo measure 5 indent 3,0.0,7.02,33.36,8.01,51.61,0.0,9.43,46.25,5.55,38.78,299.7104403311015
data_24,grad6-CrMo measure 5 indent 4,0.0,7.02,33.36,8.01,51.61,0.0,9.43,46.25,5.55,38.78,298.9528402691394
data_25,grad6-CrMo measure 5 indent 5,0.0,7.02,33.36,8.01,51.61,0.0,9.43,46.25,5.55,38.78,277.04794448459165
data_26,grad6-CrMo measure 6 indent 1,0.0,7.93,32.74,9.19,50.14,0.0,10.63,45.36,6.36,37.65,251.0830328577147
data_27,grad6-CrMo measure 6 indent 2,0.0,7.93,32.74,9.19,50.14,0.0,10.63,45.36,6.36,37.65,247.48639212755413
data_28,grad6-CrMo measure 6 indent 3,0.0,7.93,32.74,9.19,50.14,0.0,10.63,45.36,6.36,37.65,242.4406991307252
data_29,grad6-CrMo measure 6 indent 4,0.0,7.93,32.74,9.19,50.14,0.0,10.63,45.36,6.36,37.65,250.3609183661029
data_30,grad6-CrMo measure 6 indent 5,0.0,7.93,32.74,9.19,50.14,0.0,10.63,45.36,6.36,37.65,233.51009680733475
data_32,grad6-CrMo measure 7 indent 2,0.0,8.97,32.51,10.46,48.06,0.0,11.99,44.86,7.21,35.94,246.83644366206
data_33,grad6-CrMo measure 7 indent 3,0.0,8.97,32.51,10.46,48.06,0.0,11.99,44.86,7.21,35.94,240.96288233013092
data_34,grad6-CrMo measure 7 indent 4,0.0,8.97,32.51,10.46,48.06,0.0,11.99,44.86,7.21,35.94,222.21946301586928
data_35,grad6-CrMo measure 7 indent 5,0.0,8.97,32.51,10.46,48.06,0.0,11.99,44.86,7.21,35.94,222.8385250189855
data_36,grad6-CrMo measure 8 indent 1,0.0,10.26,31.86,11.88,46.0,0.0,13.67,43.85,8.16,34.32,263.6461656840356
data_37,grad6-CrMo measure 8 indent 2,0.0,10.26,31.86,11.88,46.0,0.0,13.67,43.85,8.16,34.32,271.8035259716412
data_38,grad6-CrMo measure 8 indent 3,0.0,10.26,31.86,11.88,46.0,0.0,13.67,43.85,8.16,34.32,259.0340928584196
data_39,grad6-CrMo measure 8 indent 4,0.0,10.26,31.86,11.88,46.0,0.0,13.67,43.85,8.16,34.32,261.9835955449442
