,Indent,Zr_at,Nb_at,Mo_at,Ti_at,Cr_at,Zr_m,Nb_m,Mo_m,Ti_m,Cr_m,H_GPa
data_1,grad6-CrMo measure 1 indent 1,0.0,4.08,35.93,4.46,55.52,0.0,5.47,49.77,3.08,41.67,13.487357710506377
data_2,grad6-CrMo measure 1 indent 2,0.0,4.08,35.93,4.46,55.52,0.0,5.47,49.77,3.08,41.67,12.26295908373309
data_3,grad6-CrMo measure 1 indent 3,0.0,4.08,35.93,4.46,55.52,0.0,5.47,49.77,3.08,41.67,12.082459135617803
data_4,grad6-CrMo measure 1 indent 4,0.0,4.08,35.93,4.46,55.52,0.0,5.47,49.77,3.08,41.67,12.316649502909806
data_5,grad6-CrMo measure 1 indent 5,0.0,4.08,35.93,4.46,55.52,0.0,5.47,49.77,3.08,41.67,12.818426423472951
data_6,grad6-CrMo measure 2 indent 1,0.0,4.71,35.14,5.19,54.96,0.0,6.32,48.76,3.6,41.32,12.195173750538718
data_7,grad6-CrMo measure 2 indent 2,0.0,4.71,35.14,5.19,54.96,0.0,6.32,48.76,3.6,41.32,12.16129657214428
data_8,grad6-CrMo measure 2 indent 3,0.0,4.71,35.14,5.19,54.96,0.0,6.32,48.76,3.6,41.32,12.228537057065907
data_10,grad6-CrMo measure 2 indent 5,0.0,4.71,35.14,5.19,54.96,0.0,6.32,48.76,3.6,41.32,12.186312618469856
data_11,grad6-CrMo measure 3 indent 1,0.0,5.36,34.46,6.17,54.01,0.0,7.21,47.86,4.28,40.65,12.836496811790518
data_12,grad6-CrMo measure 3 indent 2,0.0,5.36,34.46,6.17,54.01,0.0,7.21,47.86,4.28,40.65,13.572635702341204
data_13,grad6-CrMo measure 3 indent 3,0.0,5.36,34.46,6.17,54.01,0.0,7.21,47.86,4.28,40.65,12.583296025683627
data_14,grad6-CrMo measure 3 indent 4,0.0,5.36,34.46,6.17,54.01,0.0,7.21,47.86,4.28,40.65,12.41651000869976
data_16,grad6-CrMo measure 4 indent 1,0.0,6.14,33.88,7.11,52.86,0.0,8.26,47.04,4.93,39.77,12.14153230445489
data_17,grad6-CrMo measure 4 indent 2,0.0,6.14,33.88,7.11,52.86,0.0,8.26,47.04,4.93,39.77,12.749227799460254
data_18,grad6-CrMo measure 4 indent 3,0.0,6.14,33.88,7.11,52.86,0.0,8.26,47.04,4.93,39.77,12.21479982442878
data_19,grad6-CrMo measure 4 indent 4,0.0,6.14,33.88,7.11,52.86,0.0,8.26,47.04,4.93,39.77,12.397243662194263
data_20,grad6-CrMo measure 4 indent 5,0.0,6.14,33.88,7.11,52.86,0.0,8.26,47.04,4.93,39.77,12.23101922972927
data_21,grad6-CrMo measure 5 indent 1,0.0,7.02,33.36,8.01,51.61,0.0,9.43,46.25,5.55,38.78,12.912468953890887
data_22,grad6-CrMo measure 5 indent 2,0.0,7.02,33.36,8.01,51.61,0.0,9.43,46.25,5.55,38.78,12.21013332503544
data_23,grad6-CrMo measure 5 indent 3,0.0,7.02,33.36,8.01,51.61,0.0,9.43,46.25,5.55,38.78,12.440851490966745
data_24,grad6-CrMo measure 5 indent 4,0.0,7.02,33.36,8.01,51.61,0.0,9.43,46.25,5.55,38.78,13.538881448105073
data_25,grad6-CrMo measure 5 indent 5,0.0,7.02,33.36,8.01,51.61,0.0,9.43,46.25,5.55,38.78,12.82928319411136
data_26,grad6-CrMo measure 6 indent 1,0.0,7.93,32.74,9.19,50.14,0.0,10.63,45.36,6.36,37.65,12.463778856204069
data_27,grad6-CrMo measure 6 indent 2,0.0,7.93,32.74,9.19,50.14,0.0,10.63,45.36,6.36,37.65,12.32983242513377
data_28,grad6-CrMo measure 6 indent 3,0.0,7.93,32.74,9.19,50.14,0.0,10.63,45.36,6.36,37.65,13.014279646701
data_29,grad6-CrMo measure 6 indent 4,0.0,7.93,32.74,9.19,50.14,0.0,10.63,45.36,6.36,37.65,13.147062450734968
data_30,grad6-CrMo measure 6 indent 5,0.0,7.93,32.74,9.19,50.14,0.0,10.63,45.36,6.36,37.65,11.394198167234173
data_32,grad6-CrMo measure 7 indent 2,0.0,8.97,32.51,10.46,48.06,0.0,11.99,44.86,7.21,35.94,12.75181101380397
data_33,grad6-CrMo measure 7 indent 3,0.0,8.97,32.51,10.46,48.06,0.0,11.99,44.86,7.21,35.94,12.251929094013803
data_34,grad6-CrMo measure 7 indent 4,0.0,8.97,32.51,10.46,48.06,0.0,11.99,44.86,7.21,35.94,12.042174772031254
data_35,grad6-CrMo measure 7 indent 5,0.0,8.97,32.51,10.46,48.06,0.0,11.99,44.86,7.21,35.94,11.129883974490886
data_36,grad6-CrMo measure 8 indent 1,0.0,10.26,31.86,11.88,46.0,0.0,13.67,43.85,8.16,34.32,12.783745196709432
data_37,grad6-CrMo measure 8 indent 2,0.0,10.26,31.86,11.88,46.0,0.0,13.67,43.85,8.16,34.32,12.627845341595183
data_38,grad6-CrMo measure 8 indent 3,0.0,10.26,31.86,11.88,46.0,0.0,13.67,43.85,8.16,34.32,12.901853614569795
data_39,grad6-CrMo measure 8 indent 4,0.0,10.26,31.86,11.88,46.0,0.0,13.67,43.85,8.16,34.32,12.303265871094558
data_40,grad6-CrMo measure 8 indent 5,0.0,10.26,31.86,11.88,46.0,0.0,13.67,43.85,8.16,34.32,12.32949139080307
data_41,grad6-CrMo measure 9 indent 1,0.0,11.73,31.38,13.13,43.76,0.0,15.56,42.98,8.98,32.48,12.614249159968871
data_42,grad6-CrMo measure 9 indent 2,0.0,11.73,31.38,13.13,43.76,0.0,15.56,42.98,8.98,32.48,13.026174828559839
data_43,grad6-CrMo measure 9 indent 3,0.0,11.73,31.38,13.13,43.76,0.0,15.56,42.98,8.98,32.48,12.097278271735084
data_44,grad6-CrMo measure 9 indent 4,0.0,11.73,31.38,13.13,43.76,0.0,15.56,42.98,8.98,32.48,13.202677345547414
data_45,grad6-CrMo measure 9 indent 5,0.0,11.73,31.38,13.13,43.76,0.0,15.56,42.98,8.98,32.48,12.68601210392071
data_46,grad6-CrMo measure 10 indent 1,0.0,13.28,30.75,15.04,40.93,0.0,17.54,41.95,10.24,30.26,13.141188847864504
data_47,grad6-CrMo measure 10 indent 2,0.0,13.28,30.75,15.04,40.93,0.0,17.54,41.95,10.24,30.26,12.26742109591725
data_48,grad6-CrMo measure 10 indent 3,0.0,13.28,30.75,15.04,40.93,0.0,17.54,41.95,10.24,30.26,12.04602932634753
data_49,grad6-CrMo measure 10 indent 4,0.0,13.28,30.75,15.04,40.93,0.0,17.54,41.95,10.24,30.26,12.541976347612337
data_50,grad6-CrMo measure 10 indent 5,0.0,13.28,30.75,15.04,40.93,0.0,17.54,41.95,10.24,30.26,11.841173565638254
data_51,grad6-CrMo measure 11 indent 1,0.0,14.36,30.39,16.41,38.84,0.0,18.91,41.33,11.14,28.62,12.717038341062247
data_52,grad6-CrMo measure 11 indent 2,0.0,14.36,30.39,16.41,38.84,0.0,18.91,41.33,11.14,28.62,11.792151606778935
data_53,grad6-CrMo measure 11 indent 3,0.0,14.36,30.39,16.41,38.84,0.0,18.91,41.33,11.14,28.62,12.48101758406118
data_54,grad6-CrMo measure 11 indent 4,0.0,14.36,30.39,16.41,38.84,0.0,18.91,41.33,11.14,28.62,11.27936416699359
data_56,grad6-NbTi measure 1 indent 1,0.0,15.41,29.83,17.64,37.12,0.0,20.25,40.49,11.96,27.31,11.768843617540313
data_57,grad6-NbTi measure 1 indent 2,0.0,15.41,29.83,17.64,37.12,0.0,20.25,40.49,11.96,27.31,11.327024417724374
data_58,grad6-NbTi measure 1 indent 3,0.0,15.41,29.83,17.64,37.12,0.0,20.25,40.49,11.96,27.31,12.60466446631489
data_59,grad6-NbTi measure 1 indent 4,0.0,15.41,29.83,17.64,37.12,0.0,20.25,40.49,11.96,27.31,13.135071895168284
data_60,grad6-NbTi measure 1 indent 5,0.0,15.41,29.83,17.64,37.12,0.0,20.25,40.49,11.96,27.31,12.512978714358777
data_61,grad6-NbTi measure 2 indent 1,0.0,17.5,29.13,19.97,33.4,0.0,22.86,39.28,13.45,24.41,11.735876357557949
data_62,grad6-NbTi measure 2 indent 2,0.0,17.5,29.13,19.97,33.4,0.0,22.86,39.28,13.45,24.41,12.12932004673564
data_63,grad6-NbTi measure 2 indent 3,0.0,17.5,29.13,19.97,33.4,0.0,22.86,39.28,13.45,24.41,11.656407899468402
data_64,grad6-NbTi measure 2 indent 4,0.0,17.5,29.13,19.97,33.4,0.0,22.86,39.28,13.45,24.41,11.489595896136125
data_65,grad6-NbTi measure 2 indent 5,0.0,17.5,29.13,19.97,33.4,0.0,22.86,39.28,13.45,24.41,12.299522953719464
data_66,grad6-NbTi measure 3 indent 1,0.0,19.64,28.09,22.41,29.86,0.0,25.54,37.71,15.02,21.73,11.95817262250822
data_67,grad6-NbTi measure 3 indent 2,0.0,19.64,28.09,22.41,29.86,0.0,25.54,37.71,15.02,21.73,11.126848629573509
data_68,grad6-NbTi measure 3 indent 3,0.0,19.64,28.09,22.41,29.86,0.0,25.54,37.71,15.02,21.73,10.938693787718165
data_69,grad6-NbTi measure 3 indent 4,0.0,19.64,28.09,22.41,29.86,0.0,25.54,37.71,15.02,21.73,11.77064683500079
data_70,grad6-NbTi measure 3 indent 5,0.0,19.64,28.09,22.41,29.86,0.0,25.54,37.71,15.02,21.73,10.650441629675294
data_71,grad6-NbTi measure 4 indent 1,0.0,21.94,26.92,25.18,25.96,0.0,28.4,35.98,16.81,18.81,11.188996373027534
data_72,grad6-NbTi measure 4 indent 2,0.0,21.94,26.92,25.18,25.96,0.0,28.4,35.98,16.81,18.81,10.931590449628384
data_73,grad6-NbTi measure 4 indent 3,0.0,21.94,26.92,25.18,25.96,0.0,28.4,35.98,16.81,18.81,11.08552018901687
