v,Indent,Zr_at,Nb_at,Mo_at,Ti_at,Cr_at,Zr_m,Nb_m,Mo_m,Ti_m,Cr_m,E_GPa,H_GPa,CI,IQ,XRD
data_1,grad6-CrMo measure 1 indent 1,0.0,4.08,35.93,4.46,55.52,0.0,5.47,49.77,3.08,41.67,322.8381248812631,13.487357710506377,0.5084359,83536.15,1.0
data_2,grad6-CrMo measure 1 indent 2,0.0,4.08,35.93,4.46,55.52,0.0,5.47,49.77,3.08,41.67,308.3771255415674,12.26295908373309,0.5084359,83536.15,1.0
data_3,grad6-CrMo measure 1 indent 3,0.0,4.08,35.93,4.46,55.52,0.0,5.47,49.77,3.08,41.67,301.9749290618739,12.082459135617803,0.5084359,83536.15,1.0
data_4,grad6-CrMo measure 1 indent 4,0.0,4.08,35.93,4.46,55.52,0.0,5.47,49.77,3.08,41.67,317.0428857549632,12.316649502909806,0.5084359,83536.15,1.0
data_5,grad6-CrMo measure 1 indent 5,0.0,4.08,35.93,4.46,55.52,0.0,5.47,49.77,3.08,41.67,343.0709747090944,12.818426423472951,0.5084359,83536.15,1.0
data_6,grad6-CrMo measure 2 indent 1,0.0,4.71,35.14,5.19,54.96,0.0,6.32,48.76,3.6,41.32,294.49420991348205,12.195173750538718,0.47820050000000003,78974.57,1.0
data_7,grad6-CrMo measure 2 indent 2,0.0,4.71,35.14,5.19,54.96,0.0,6.32,48.76,3.6,41.32,304.9250499645848,12.16129657214428,0.47820050000000003,78974.57,1.0
data_8,grad6-CrMo measure 2 indent 3,0.0,4.71,35.14,5.19,54.96,0.0,6.32,48.76,3.6,41.32,315.6686791558625,12.228537057065907,0.47820050000000003,78974.57,1.0
data_9,grad6-CrMo measure 2 indent 4,0.0,4.71,35.14,5.19,54.96,0.0,6.32,48.76,3.6,41.32,300.19335129644173,12.626123847257105,0.47820050000000003,78974.57,1.0
data_10,grad6-CrMo measure 2 indent 5,0.0,4.71,35.14,5.19,54.96,0.0,6.32,48.76,3.6,41.32,323.4791153019688,12.186312618469856,0.47820050000000003,78974.57,1.0
data_11,grad6-CrMo measure 3 indent 1,0.0,5.36,34.46,6.17,54.01,0.0,7.21,47.86,4.28,40.65,320.30962763430324,12.836496811790518,0.4708745,76758.24,1.0
data_12,grad6-CrMo measure 3 indent 2,0.0,5.36,34.46,6.17,54.01,0.0,7.21,47.86,4.28,40.65,301.3199140183428,13.572635702341204,0.4708745,76758.24,1.0
